idCity,name,stateAcronym,state
1,Aaronsburg,PA,58
2,Abadia de Goiás,GO,21
3,Abadia dos Dourados,MG,38
4,Abadiânia,GO,21
5,Abaeté,MG,38
6,Abaetetuba,PA,55
7,Abaiara,CE,12
8,Abaíra,BA,10
9,Abanda,AL,2
10,Abaré,BA,10
11,Abatiá,PR,57
12,Abbeville,LA,30
13,Abbeville,SC,71
14,Abbeville,GA,20
15,Abbeville,AL,2
16,Abbeville,MS,40
17,Abbotsford,WI,83
18,Abbott,TX,74
19,Abbottstown,PA,58
20,Abbs Valley,VA,80
21,Abbyville,KS,28
22,Abdon Batista,SC,68
23,Abel Figueiredo,PA,55
24,Abelardo Luz,SC,68
25,Abercrombie,ND,50
26,Aberdeen,SD,72
27,Aberdeen,WA,81
28,Aberdeen,MD,33
29,Aberdeen,NC,49
30,Aberdeen,MS,40
31,Aberdeen,ID,24
32,Aberdeen,IN,26
33,Aberdeen,OH,52
34,Aberdeen Gardens,WA,81
35,Aberdeen Proving Ground,MD,33
36,Abernathy,TX,74
37,Abeytas,NM,47
38,Abie,NE,43
39,Abilene,TX,74
40,Abilene,KS,28
41,Abingdon,VA,80
42,Abingdon,MD,33
43,Abingdon,IL,25
44,Abiquiu,NM,47
45,Abita Springs,LA,30
46,Abney Crossroads,SC,71
47,Abram,TX,74
48,Abrams,WI,83
49,Abre Campo,MG,38
50,Abreu e Lima,PE,59
51,Abreulândia,TO,75
52,Absarokee,MT,42
53,Absecon,NJ,46
54,Absecon Highlands,NJ,46
55,Acacia Villas,FL,19
56,Acaiaca,MG,38
57,Açailândia,MA,32
58,Acajutiba,BA,10
59,Acala,TX,74
60,Acalanes Ridge,CA,11
61,Acampo,CA,11
62,Acará,PA,55
63,Acarape,CE,12
64,Acaraú,CE,12
65,Acari,RN,64
66,Acauã,PI,60
67,Accident,MD,33
68,Accokeek,MD,33
69,Accomac,VA,80
70,Accord,NY,48
71,Accoville,WV,82
72,Aceguá,RS,65
73,Aceitunas,PR,61
74,Acequia,ID,24
75,Achille,OK,53
76,Ackerly,TX,74
77,Ackerman,MS,40
78,Ackermanville,PA,58
79,Ackley,IA,27
80,Ackworth,IA,27
81,Acme,WA,81
82,Acomita Lake,NM,47
83,Acopiara,CE,12
84,Acorizal,MT,35
85,Acorn,AR,9
86,Acrelândia,AC,1
87,Acres Green,CO,13
88,Acreúna,GO,21
89,Acton,CA,11
90,Acton,MT,42
91,Açu,RN,64
92,Açucena,MG,38
93,Acushnet Center,MA,34
94,Acworth,GA,20
95,Ada,OK,53
96,Ada,OH,52
97,Ada,MN,39
98,Ada,KS,28
99,Adair,IA,27
100,Adair,OK,53
101,Adair,IL,25
102,Adair Village,OR,54
103,Adairsville,GA,20
104,Adairville,KY,29
105,Adak,AK,4
106,Adamantina,SP,69
107,Adams,WI,83
108,Adams,MN,39
109,Adams,TN,73
110,Adams,NE,43
111,Adams,OR,54
112,Adams,OK,53
113,Adams,ND,50
114,Adams,IL,25
115,Adams Center,NY,48
116,Adams Run,SC,71
117,Adamsburg,PA,58
118,Adamson,OK,53
119,Adamstown,PA,58
120,Adamstown,MD,33
121,Adamsville,AL,2
122,Adamsville,TN,73
123,Adamsville,OH,52
124,Adamsville,PA,58
125,Addieville,IL,25
126,Addington,OK,53
127,Addis,LA,30
128,Addison,IL,25
129,Addison,TX,74
130,Addison,WV,82
131,Addison,AL,2
132,Addison,MI,37
133,Addy,WA,81
134,Addyston,OH,52
135,Adel,IA,27
136,Adel,GA,20
137,Adelândia,GO,21
138,Adelanto,CA,11
139,Adeline,IL,25
140,Adelino,NM,47
141,Adell,WI,83
142,Adelphi,MD,33
143,Adelphi,OH,52
144,Adena,OH,52
145,Adin,CA,11
146,Adjuntas,PR,61
147,Admire,KS,28
148,Adolfo,SP,69
149,Adona,AR,9
150,Adrian,MI,37
151,Adrian,MO,41
152,Adrian,MN,39
153,Adrian,GA,20
154,Adrian,OR,54
155,Adrian,WV,82
156,Adrian,TX,74
157,Adrianópolis,PR,57
158,Adustina,BA,10
159,Advance,NC,49
160,Advance,MO,41
161,Advance,IN,26
162,Advance,MI,37
163,Adwolf,VA,80
164,Aetna Estates,CO,13
165,Affton,MO,41
166,Afogados da Ingazeira,PE,59
167,Afonso Bezerra,RN,64
168,Afonso Cláudio,ES,18
169,Afonso Cunha,MA,32
170,Afrânio,PE,59
171,Afton,MN,39
172,Afton,WY,84
173,Afton,IA,27
174,Afton,OK,53
175,Afton,VA,80
176,Afuá,PA,55
177,Agar,SD,72
178,Agency,MO,41
179,Agency,IA,27
180,Agency Village,SD,72
181,Agenda,KS,28
182,Ages,KY,29
183,Agnew,NE,43
184,Agoura Hills,CA,11
185,Agra,OK,53
186,Agra,KS,28
187,Agrestina,PE,59
188,Agricola,MS,40
189,Agricolândia,PI,60
190,Agrolândia,SC,68
191,Agronômica,SC,68
192,Água Azul do Norte,PA,55
193,Água Boa,MG,38
194,Água Boa,MT,35
195,Água Branca,PI,60
196,Água Branca,PB,56
197,Água Branca,AL,3
198,Água Clara,MS,36
199,Água Comprida,MG,38
200,Água Doce,SC,68
201,Água Doce do Maranhão,MA,32
202,Água Doce do Norte,ES,18
203,Agua Dulce,CA,11
204,Agua Dulce,TX,74
205,Agua Fria,NM,47
206,Água Fria,BA,10
207,Água Fria de Goiás,GO,21
208,Água Limpa,GO,21
209,Água Nova,RN,64
210,Água Preta,PE,59
211,Água Santa,RS,65
212,Aguada,PR,61
213,Aguadilla,PR,61
214,Aguaí,SP,69
215,Aguanga,CA,11
216,Aguanil,MG,38
217,Águas Belas,PE,59
218,Aguas Buenas,PR,61
